scenario,Mb,seed,ncore,budget_total,scheme,admitted,core_load,bsm_rounds,eff_throughput,base_cost,solve_time
Sc2,16,5,2,4.0,NO,7,545.63,137,0.0511,169.392,10.317
Sc2,16,5,2,4.0,CAG,8,0.0,1,8.0,24.276,3.003
Sc2,16,5,2,8.0,NO,7,545.63,69,0.1014,169.392,10.317
Sc2,16,5,2,8.0,CAG,9,5.35,1,9.0,26.562,2.914
Sc2,16,5,2,12.0,NO,7,545.63,46,0.1522,169.392,10.317
Sc2,16,5,2,12.0,CAG,9,11.613,1,9.0,29.24,2.991
Sc2,16,5,2,16.0,NO,7,545.63,35,0.2,169.392,10.317
Sc2,16,5,2,16.0,CAG,9,11.613,1,9.0,29.24,2.992
Sc2,16,5,2,1000.0,NO,7,545.63,1,7.0,169.392,10.317
Sc2,16,5,2,1000.0,CAG,9,11.613,1,9.0,29.24,3.654
Sc2,16,6,2,4.0,NO,7,60.197,16,0.4375,53.271,10.336
Sc2,16,6,2,4.0,CAG,10,1.157,1,10.0,23.758,1.63
Sc2,16,6,2,8.0,NO,7,60.197,8,0.875,53.271,10.336
Sc2,16,6,2,8.0,CAG,10,1.157,1,10.0,23.758,1.51
Sc2,16,6,2,12.0,NO,7,60.197,6,1.1667,53.271,10.336
Sc2,16,6,2,12.0,CAG,10,1.157,1,10.0,23.758,1.566
Sc2,16,6,2,16.0,NO,7,60.197,4,1.75,53.271,10.336
Sc2,16,6,2,16.0,CAG,10,1.157,1,10.0,23.758,1.533
Sc2,16,6,2,1000.0,NO,7,60.197,1,7.0,53.271,10.336
Sc2,16,6,2,1000.0,CAG,10,1.157,1,10.0,23.758,2.985
Sc2,16,7,2,4.0,NO,8,320.844,81,0.0988,98.881,10.307
Sc2,16,7,2,4.0,CAG,9,1.197,1,9.0,7.017,0.604
Sc2,16,7,2,8.0,NO,8,320.844,41,0.1951,98.881,10.307
Sc2,16,7,2,8.0,CAG,9,5.512,1,9.0,9.258,0.472
Sc2,16,7,2,12.0,NO,8,320.844,27,0.2963,98.881,10.307
Sc2,16,7,2,12.0,CAG,9,11.613,1,9.0,11.983,0.49
Sc2,16,7,2,16.0,NO,8,320.844,21,0.381,98.881,10.307
Sc2,16,7,2,16.0,CAG,9,11.613,1,9.0,11.983,0.492
Sc2,16,7,2,1000.0,NO,8,320.844,1,8.0,98.881,10.307
Sc2,16,7,2,1000.0,CAG,9,11.613,1,9.0,11.983,0.888
Sc2,16,8,2,4.0,NO,7,322.856,81,0.0864,93.755,10.351
Sc2,16,8,2,4.0,CAG,9,0.0,1,9.0,9.712,0.901
Sc2,16,8,2,8.0,NO,7,322.856,41,0.1707,93.755,10.351
Sc2,16,8,2,8.0,CAG,9,0.0,1,9.0,9.712,0.86
Sc2,16,8,2,12.0,NO,7,322.856,27,0.2593,93.755,10.351
Sc2,16,8,2,12.0,CAG,9,11.939,1,9.0,11.479,0.895
Sc2,16,8,2,16.0,NO,7,322.856,21,0.3333,93.755,10.351
Sc2,16,8,2,16.0,CAG,9,11.939,1,9.0,11.479,0.895
Sc2,16,8,2,1000.0,NO,7,322.856,1,7.0,93.755,10.351
Sc2,16,8,2,1000.0,CAG,9,11.939,1,9.0,11.479,1.667
Sc2,16,9,2,4.0,NO,7,99.094,25,0.28,30.135,10.331
Sc2,16,9,2,4.0,CAG,9,0.0,1,9.0,23.12,3.004
Sc2,16,9,2,8.0,NO,7,99.094,13,0.5385,30.135,10.331
Sc2,16,9,2,8.0,CAG,9,0.0,1,9.0,23.12,2.982
Sc2,16,9,2,12.0,NO,7,99.094,9,0.7778,30.135,10.331
Sc2,16,9,2,12.0,CAG,9,11.939,1,9.0,27.635,2.936
Sc2,16,9,2,16.0,NO,7,99.094,7,1.0,30.135,10.331
Sc2,16,9,2,16.0,CAG,9,11.939,1,9.0,27.635,2.039
Sc2,16,9,2,1000.0,NO,7,99.094,1,7.0,30.135,10.331
Sc2,16,9,2,1000.0,CAG,9,11.939,1,9.0,27.635,2.984
