scenario,Mb,seed,ncore,budget_total,scheme,admitted,core_load,bsm_rounds,eff_throughput,base_cost,solve_time
Sc2,16,0,2,4.0,NO,7,472.923,119,0.0588,142.575,10.325
Sc2,16,0,2,4.0,CAG,9,2.829,1,9.0,4.478,0.877
Sc2,16,0,2,4.0,NA,10,0.0,1,10.0,3.162,10.365
Sc2,16,0,2,8.0,NO,7,472.923,60,0.1167,142.575,10.325
Sc2,16,0,2,8.0,CAG,9,2.829,1,9.0,4.478,0.824
Sc2,16,0,2,8.0,NA,10,0.0,1,10.0,2.638,10.336
Sc2,16,0,2,12.0,NO,7,472.923,40,0.175,142.575,10.325
Sc2,16,0,2,12.0,CAG,9,2.829,1,9.0,4.478,0.864
Sc2,16,0,2,12.0,NA,10,7.363,1,10.0,3.627,10.338
Sc2,16,0,2,16.0,NO,7,472.923,30,0.2333,142.575,10.325
Sc2,16,0,2,16.0,CAG,10,12.825,1,10.0,8.433,0.892
Sc2,16,0,2,16.0,NA,10,2.337,1,10.0,3.06,10.35
Sc2,16,0,2,1000.0,NO,7,472.923,1,7.0,142.575,10.325
Sc2,16,0,2,1000.0,CAG,10,12.825,1,10.0,8.433,1.536
Sc2,16,0,2,1000.0,NA,10,2.6,1,10.0,3.073,10.37
Sc2,16,1,2,4.0,NO,7,86.799,22,0.3182,36.769,10.414
Sc2,16,1,2,4.0,CAG,9,0.0,1,9.0,23.745,2.928
Sc2,16,1,2,4.0,NA,10,3.534,1,10.0,4.038,7.345
Sc2,16,1,2,8.0,NO,7,86.799,11,0.6364,36.769,10.414
Sc2,16,1,2,8.0,CAG,9,0.0,1,9.0,23.745,2.932
Sc2,16,1,2,8.0,NA,10,3.534,1,10.0,26.983,5.638
Sc2,16,1,2,12.0,NO,7,86.799,8,0.875,36.769,10.414
Sc2,16,1,2,12.0,CAG,9,11.613,1,9.0,28.559,2.962
Sc2,16,1,2,12.0,NA,10,4.674,1,10.0,6.349,9.24
Sc2,16,1,2,16.0,NO,7,86.799,6,1.1667,36.769,10.414
Sc2,16,1,2,16.0,CAG,9,11.613,1,9.0,28.559,2.947
Sc2,16,1,2,16.0,NA,10,2.337,1,10.0,7.792,3.274
Sc2,16,1,2,1000.0,NO,7,86.799,1,7.0,36.769,10.414
Sc2,16,1,2,1000.0,CAG,9,11.613,1,9.0,28.559,5.689
Sc2,16,1,2,1000.0,NA,10,16.715,1,10.0,9.11,9.193
Sc2,16,2,2,4.0,NO,6,266.02,67,0.0896,226.994,10.284
Sc2,16,2,2,4.0,CAG,8,0.0,1,8.0,24.426,2.925
Sc2,16,2,2,4.0,NA,9,3.655,1,9.0,5.327,10.359
Sc2,16,2,2,8.0,NO,6,266.02,34,0.1765,226.994,10.284
Sc2,16,2,2,8.0,CAG,9,5.188,1,9.0,26.584,2.935
Sc2,16,2,2,8.0,NA,9,4.916,1,9.0,5.365,10.364
Sc2,16,2,2,12.0,NO,6,266.02,23,0.2609,226.994,10.284
Sc2,16,2,2,12.0,CAG,9,11.613,1,9.0,29.391,2.966
Sc2,16,2,2,12.0,NA,9,6.154,1,9.0,3.789,10.357
Sc2,16,2,2,16.0,NO,6,266.02,17,0.3529,226.994,10.284
Sc2,16,2,2,16.0,CAG,9,11.613,1,9.0,29.391,2.955
Sc2,16,2,2,16.0,NA,9,6.269,1,9.0,3.589,10.365
Sc2,16,2,2,1000.0,NO,6,266.02,1,6.0,226.994,10.284
Sc2,16,2,2,1000.0,CAG,9,11.613,1,9.0,29.391,5.726
Sc2,16,2,2,1000.0,NA,9,8.932,1,9.0,5.393,10.413
Sc2,16,3,2,4.0,NO,7,160.247,41,0.1707,63.153,10.315
Sc2,16,3,2,4.0,CAG,9,2.829,1,9.0,6.556,0.899
Sc2,16,3,2,4.0,NA,10,1.238,1,10.0,6.5,10.336
Sc2,16,3,2,8.0,NO,7,160.247,21,0.3333,63.153,10.315
Sc2,16,3,2,8.0,CAG,9,2.829,1,9.0,6.556,0.962
Sc2,16,3,2,8.0,NA,10,2.663,1,10.0,18.343,10.39
Sc2,16,3,2,12.0,NO,7,160.247,14,0.5,63.153,10.315
Sc2,16,3,2,12.0,CAG,10,10.127,1,10.0,8.762,0.997
Sc2,16,3,2,12.0,NA,10,6.103,1,10.0,6.525,10.353
Sc2,16,3,2,16.0,NO,7,160.247,11,0.6364,63.153,10.315
Sc2,16,3,2,16.0,CAG,10,10.127,1,10.0,8.762,1.014
Sc2,16,3,2,16.0,NA,10,15.381,1,10.0,7.706,10.349
Sc2,16,3,2,1000.0,NO,7,160.247,1,7.0,63.153,10.315
Sc2,16,3,2,1000.0,CAG,10,19.762,1,10.0,11.976,1.719
Sc2,16,3,2,1000.0,NA,10,7.694,1,10.0,6.924,8.38
Sc2,16,4,2,4.0,NO,6,323.483,81,0.0741,159.423,10.333
Sc2,16,4,2,4.0,CAG,8,0.0,1,8.0,25.104,3.026
Sc2,16,4,2,4.0,NA,9,0.0,1,9.0,3.199,10.348
Sc2,16,4,2,8.0,NO,6,323.483,41,0.1463,159.423,10.333
Sc2,16,4,2,8.0,CAG,9,7.057,1,9.0,27.174,2.973
Sc2,16,4,2,8.0,NA,10,5.951,1,10.0,6.358,7.158
Sc2,16,4,2,12.0,NO,6,323.483,27,0.2222,159.423,10.333
Sc2,16,4,2,12.0,CAG,9,7.057,1,9.0,27.174,3.03
Sc2,16,4,2,12.0,NA,10,4.691,1,10.0,6.341,8.028
Sc2,16,4,2,16.0,NO,6,323.483,21,0.2857,159.423,10.333
Sc2,16,4,2,16.0,CAG,9,14.994,1,9.0,29.37,3.014
Sc2,16,4,2,16.0,NA,10,15.055,1,10.0,6.945,7.813
Sc2,16,4,2,1000.0,NO,6,323.483,1,6.0,159.423,10.333
Sc2,16,4,2,1000.0,CAG,9,17.42,1,9.0,30.835,5.8
Sc2,16,4,2,1000.0,NA,10,7.108,1,10.0,27.391,5.709
