scenario,Mb,seed,ncore,budget_total,scheme,admitted,core_load,bsm_rounds,eff_throughput,base_cost,solve_time
Sc2,8,5,2,16.0,NO,7,0.0,1,7.0,2.634,10.227
Sc2,8,5,2,16.0,CAG,8,0.0,1,8.0,5.848,1.719
Sc2,8,5,2,1000.0,NO,7,0.0,1,7.0,2.634,10.227
Sc2,8,5,2,1000.0,CAG,8,0.0,1,8.0,5.848,2.879
Sc2,8,6,2,4.0,NO,6,7.898,2,3.0,6.03,10.213
Sc2,8,6,2,4.0,CAG,8,1.117,1,8.0,5.227,1.142
Sc2,8,6,2,8.0,NO,6,7.898,1,6.0,6.03,10.213
Sc2,8,6,2,8.0,CAG,8,1.117,1,8.0,5.227,0.988
Sc2,8,6,2,12.0,NO,6,7.898,1,6.0,6.03,10.213
Sc2,8,6,2,12.0,CAG,8,1.117,1,8.0,5.227,1.048
Sc2,8,6,2,16.0,NO,6,7.898,1,6.0,6.03,10.213
Sc2,8,6,2,16.0,CAG,8,1.117,1,8.0,5.227,1.06
Sc2,8,6,2,1000.0,NO,6,7.898,1,6.0,6.03,10.213
Sc2,8,6,2,1000.0,CAG,8,1.117,1,8.0,5.227,1.892
Sc2,8,7,2,4.0,NO,7,4.385,2,3.5,3.019,10.246
Sc2,8,7,2,4.0,CAG,8,1.117,1,8.0,3.888,1.591
Sc2,8,7,2,8.0,NO,7,4.385,1,7.0,3.019,10.246
Sc2,8,7,2,8.0,CAG,8,1.117,1,8.0,3.888,1.615
Sc2,8,7,2,12.0,NO,7,4.385,1,7.0,3.019,10.246
Sc2,8,7,2,12.0,CAG,8,1.117,1,8.0,3.888,1.718
Sc2,8,7,2,16.0,NO,7,4.385,1,7.0,3.019,10.246
Sc2,8,7,2,16.0,CAG,8,1.117,1,8.0,3.888,1.747
Sc2,8,7,2,1000.0,NO,7,4.385,1,7.0,3.019,10.246
Sc2,8,7,2,1000.0,CAG,8,1.117,1,8.0,3.888,2.975
Sc2,8,8,2,4.0,NO,8,2.641,1,8.0,3.64,10.261
Sc2,8,8,2,4.0,CAG,7,1.362,1,7.0,3.096,1.557
Sc2,8,8,2,8.0,NO,8,2.641,1,8.0,3.64,10.261
Sc2,8,8,2,8.0,CAG,8,6.388,1,8.0,5.128,1.551
Sc2,8,8,2,12.0,NO,8,2.641,1,8.0,3.64,10.261
Sc2,8,8,2,12.0,CAG,8,6.388,1,8.0,5.128,1.659
Sc2,8,8,2,16.0,NO,8,2.641,1,8.0,3.64,10.261
Sc2,8,8,2,16.0,CAG,8,6.388,1,8.0,5.128,1.713
Sc2,8,8,2,1000.0,NO,8,2.641,1,8.0,3.64,10.261
Sc2,8,8,2,1000.0,CAG,8,6.388,1,8.0,5.128,2.672
Sc2,8,9,2,4.0,NO,8,10.861,3,2.6667,10.47,10.233
Sc2,8,9,2,4.0,CAG,7,1.362,1,7.0,6.048,1.062
Sc2,8,9,2,8.0,NO,8,10.861,2,4.0,10.47,10.233
Sc2,8,9,2,8.0,CAG,7,5.512,1,7.0,8.021,1.022
Sc2,8,9,2,12.0,NO,8,10.861,1,8.0,10.47,10.233
Sc2,8,9,2,12.0,CAG,8,10.861,1,8.0,10.47,1.076
Sc2,8,9,2,16.0,NO,8,10.861,1,8.0,10.47,10.233
Sc2,8,9,2,16.0,CAG,8,10.861,1,8.0,10.47,0.978
Sc2,8,9,2,1000.0,NO,8,10.861,1,8.0,10.47,10.233
Sc2,8,9,2,1000.0,CAG,8,10.861,1,8.0,10.47,1.803
