scenario,Mb,seed,ncore,budget_total,scheme,admitted,core_load,bsm_rounds,eff_throughput,base_cost,solve_time
Sc2,20,5,2,4.0,NO,8,201.235,51,0.1569,70.686,10.352
Sc2,20,5,2,4.0,CAG,9,0.0,1,9.0,25.536,2.805
Sc2,20,5,2,8.0,NO,8,201.235,26,0.3077,70.686,10.352
Sc2,20,5,2,8.0,CAG,9,0.0,1,9.0,25.536,2.696
Sc2,20,5,2,12.0,NO,8,201.235,17,0.4706,70.686,10.352
Sc2,20,5,2,12.0,CAG,9,11.367,1,9.0,27.542,2.705
Sc2,20,5,2,16.0,NO,8,201.235,13,0.6154,70.686,10.352
Sc2,20,5,2,16.0,CAG,9,11.367,1,9.0,27.542,2.175
Sc2,20,5,2,1000.0,NO,8,201.235,1,8.0,70.686,10.352
Sc2,20,5,2,1000.0,CAG,9,11.367,1,9.0,27.542,2.76
Sc2,20,6,2,4.0,NO,9,71.327,18,0.5,22.588,10.368
Sc2,20,6,2,4.0,CAG,10,2.499,1,10.0,7.441,0.683
Sc2,20,6,2,8.0,NO,9,71.327,9,1.0,22.588,10.368
Sc2,20,6,2,8.0,CAG,10,2.499,1,10.0,7.441,0.636
Sc2,20,6,2,12.0,NO,9,71.327,6,1.5,22.588,10.368
Sc2,20,6,2,12.0,CAG,10,10.833,1,10.0,9.693,0.61
Sc2,20,6,2,16.0,NO,9,71.327,5,1.8,22.588,10.368
Sc2,20,6,2,16.0,CAG,10,10.833,1,10.0,9.693,0.612
Sc2,20,6,2,1000.0,NO,9,71.327,1,9.0,22.588,10.368
Sc2,20,6,2,1000.0,CAG,10,10.833,1,10.0,9.693,1.118
Sc2,20,7,2,4.0,NO,8,236.64,60,0.1333,77.669,10.367
Sc2,20,7,2,4.0,CAG,9,2.829,1,9.0,30.828,2.745
Sc2,20,7,2,8.0,NO,8,236.64,30,0.2667,77.669,10.367
Sc2,20,7,2,8.0,CAG,9,2.829,1,9.0,30.828,2.686
Sc2,20,7,2,12.0,NO,8,236.64,20,0.4,77.669,10.367
Sc2,20,7,2,12.0,CAG,9,10.833,1,9.0,32.883,2.731
Sc2,20,7,2,16.0,NO,8,236.64,15,0.5333,77.669,10.367
Sc2,20,7,2,16.0,CAG,9,10.833,1,9.0,32.883,2.724
Sc2,20,7,2,1000.0,NO,8,236.64,1,8.0,77.669,10.367
Sc2,20,7,2,1000.0,CAG,9,10.833,1,9.0,32.883,5.283
Sc2,20,8,2,4.0,NO,8,46.093,12,0.6667,77.987,10.357
Sc2,20,8,2,4.0,CAG,9,0.0,1,9.0,13.428,0.608
Sc2,20,8,2,8.0,NO,8,46.093,6,1.3333,77.987,10.357
Sc2,20,8,2,8.0,CAG,9,0.0,1,9.0,13.428,0.57
Sc2,20,8,2,12.0,NO,8,46.093,4,2.0,77.987,10.357
Sc2,20,8,2,12.0,CAG,10,8.712,1,10.0,15.519,0.585
Sc2,20,8,2,16.0,NO,8,46.093,3,2.6667,77.987,10.357
Sc2,20,8,2,16.0,CAG,10,8.712,1,10.0,15.519,0.592
Sc2,20,8,2,1000.0,NO,8,46.093,1,8.0,77.987,10.357
Sc2,20,8,2,1000.0,CAG,10,8.712,1,10.0,15.519,1.101
Sc2,20,9,2,4.0,NO,7,48.745,13,0.5385,17.638,10.371
Sc2,20,9,2,4.0,CAG,8,2.829,1,8.0,55.549,4.689
Sc2,20,9,2,8.0,NO,7,48.745,7,1.0,17.638,10.371
Sc2,20,9,2,8.0,CAG,9,7.534,1,9.0,57.34,4.625
Sc2,20,9,2,12.0,NO,7,48.745,5,1.4,17.638,10.371
Sc2,20,9,2,12.0,CAG,8,11.902,1,8.0,58.11,3.435
Sc2,20,9,2,16.0,NO,7,48.745,4,1.75,17.638,10.371
Sc2,20,9,2,16.0,CAG,9,14.401,1,9.0,58.843,2.406
Sc2,20,9,2,1000.0,NO,7,48.745,1,7.0,17.638,10.371
Sc2,20,9,2,1000.0,CAG,9,34.102,1,9.0,64.33,4.704
