workload,Mb,seed,loss_db,budget_total,scheme,admitted,core_load,bsm_rounds,eff_throughput,base_cost,solve_time
mixed,8,8,1.0,8.0,CAG,8,6.388,1,8.0,6.587,1.57
mixed,8,8,2.0,8.0,OBL,8,20.51,3,2.6667,31.484,1.248
mixed,8,8,2.0,8.0,JDQC,8,7.539,1,8.0,24.331,1.584
mixed,8,8,2.0,8.0,CAG,8,6.388,1,8.0,13.052,1.576
mixed,8,9,0.5,8.0,OBL,8,24.59,4,2.0,15.612,1.979
mixed,8,9,0.5,8.0,JDQC,8,2.913,1,8.0,17.556,2.678
mixed,8,9,0.5,8.0,CAG,7,5.512,1,7.0,8.021,1.815
mixed,8,9,1.0,8.0,OBL,8,31.638,4,2.0,26.263,1.411
mixed,8,9,1.0,8.0,JDQC,8,2.766,1,8.0,44.629,2.14
mixed,8,9,1.0,8.0,CAG,7,5.512,1,7.0,9.716,1.856
mixed,8,9,2.0,8.0,OBL,8,57.126,8,1.0,84.869,1.633
mixed,8,9,2.0,8.0,JDQC,8,1.404,1,8.0,49.68,2.26
mixed,8,9,2.0,8.0,CAG,7,5.512,1,7.0,16.583,1.818
dense,8,0,0.5,8.0,OBL,7,12.976,2,3.5,129.469,10.252
dense,8,0,0.5,8.0,JDQC,6,0.0,1,6.0,69.236,10.264
dense,8,0,0.5,8.0,CAG,6,0.0,1,6.0,165.686,5.973
dense,8,0,1.0,8.0,OBL,7,12.976,2,3.5,168.459,10.252
dense,8,0,1.0,8.0,JDQC,6,0.0,1,6.0,87.962,10.242
dense,8,0,1.0,8.0,CAG,6,0.0,1,6.0,184.282,5.968
dense,8,0,2.0,8.0,OBL,7,13.515,2,3.5,201.23,6.366
dense,8,0,2.0,8.0,JDQC,6,0.0,1,6.0,94.837,10.25
dense,8,0,2.0,8.0,CAG,6,0.0,1,6.0,232.245,6.077
dense,8,1,0.5,8.0,OBL,8,0.0,1,8.0,143.559,3.051
dense,8,1,0.5,8.0,JDQC,8,0.0,1,8.0,155.783,2.804
dense,8,1,0.5,8.0,CAG,8,0.0,1,8.0,136.278,5.785
dense,8,1,1.0,8.0,OBL,8,0.0,1,8.0,175.712,3.79
dense,8,1,1.0,8.0,JDQC,8,0.0,1,8.0,175.712,1.926
dense,8,1,1.0,8.0,CAG,8,0.0,1,8.0,150.768,5.792
dense,8,1,2.0,8.0,OBL,8,26.498,4,2.0,209.254,3.747
dense,8,1,2.0,8.0,JDQC,8,0.0,1,8.0,356.02,2.281
dense,8,1,2.0,8.0,CAG,8,0.0,1,8.0,187.389,5.746
dense,8,2,0.5,8.0,OBL,7,0.0,1,7.0,155.67,10.256
dense,8,2,0.5,8.0,JDQC,7,0.0,1,7.0,107.28,7.514
dense,8,2,0.5,8.0,CAG,6,0.0,1,6.0,138.516,5.95
dense,8,2,1.0,8.0,OBL,7,0.0,1,7.0,146.522,7.131
dense,8,2,1.0,8.0,JDQC,7,0.0,1,7.0,132.623,4.944
dense,8,2,1.0,8.0,CAG,6,0.0,1,6.0,151.865,5.898
dense,8,2,2.0,8.0,OBL,7,0.0,1,7.0,203.71,10.247
dense,8,2,2.0,8.0,JDQC,7,0.0,1,7.0,190.441,4.433
dense,8,2,2.0,8.0,CAG,6,0.0,1,6.0,183.648,5.948
dense,8,3,0.5,8.0,OBL,8,50.836,7,1.1429,170.795,3.77
dense,8,3,0.5,8.0,JDQC,7,0.0,1,7.0,94.926,10.241
dense,8,3,0.5,8.0,CAG,7,0.0,1,7.0,131.51,5.894
dense,8,3,1.0,8.0,OBL,8,36.781,5,1.6,211.626,2.538
dense,8,3,1.0,8.0,JDQC,7,0.0,1,7.0,103.955,4.309
dense,8,3,1.0,8.0,CAG,7,0.0,1,7.0,144.102,5.865
dense,8,3,2.0,8.0,OBL,8,37.86,5,1.6,326.586,2.549
dense,8,3,2.0,8.0,JDQC,7,0.0,1,7.0,130.532,2.389
dense,8,3,2.0,8.0,CAG,7,0.0,1,7.0,174.083,5.889
dense,8,4,0.5,8.0,OBL,8,40.013,6,1.3333,176.571,4.198
dense,8,4,0.5,8.0,JDQC,7,0.0,1,7.0,105.678,10.241
